wavelength_nm,absorption_coefficient_1/mm,scattering_coefficient_1/mm,reflectance_nd,transmittance_nd,reflectance_dark_american_negro_nd,reflectance_fair_complexioned_white_nd
5050,28.15,0.465,0.03,0.005,0.04,0.09
5060,28.15,0.465,0.03,0.005,0.04,0.09
5070,28.15,0.465,0.03,0.005,0.04,0.09
5080,28.15,0.465,0.03,0.005,0.04,0.09
5090,28.15,0.465,0.03,0.005,0.04,0.09
5100,28.15,0.465,0.03,0.005,0.04,0.09
5110,27.69,0.465,0.03,0.005,0.04,0.09
5120,27.69,0.465,0.03,0.005,0.04,0.09
5130,27.69,0.465,0.03,0.005,0.04,0.09
5140,27.69,0.465,0.03,0.005,0.04,0.09
5150,27.69,0.465,0.03,0.005,0.04,0.09
5160,27.69,0.465,0.03,0.005,0.04,0.09
5170,27.69,0.465,0.03,0.005,0.04,0.09
5180,27.69,0.465,0.03,0.005,0.04,0.09
5190,27.69,0.465,0.03,0.005,0.04,0.09
5200,26.36,0.465,0.03,0.005,0.04,0.09
5210,26.36,0.465,0.03,0.005,0.04,0.09
5220,26.36,0.465,0.03,0.005,0.04,0.09
5230,26.36,0.465,0.03,0.005,0.04,0.09
5240,26.36,0.465,0.03,0.005,0.04,0.09
5250,26.36,0.465,0.03,0.005,0.04,0.09
5260,26.36,0.465,0.03,0.005,0.04,0.09
5270,26.36,0.465,0.03,0.005,0.04,0.09
5280,25.92,0.465,0.03,0.005,0.04,0.09
5290,25.92,0.465,0.03,0.005,0.04,0.09
5300,25.92,0.465,0.03,0.005,0.04,0.09
5310,25.92,0.465,0.03,0.005,0.04,0.09
5320,25.92,0.465,0.03,0.005,0.04,0.09
5330,25.92,0.465,0.03,0.005,0.04,0.09
5340,25.92,0.465,0.03,0.005,0.04,0.09
5350,25.92,0.465,0.03,0.005,0.04,0.09
5360,25.92,0.465,0.03,0.005,0.04,0.09
5370,25.92,0.465,0.03,0.005,0.04,0.09
5380,25.92,0.465,0.03,0.005,0.04,0.09
5390,25.92,0.465,0.03,0.005,0.04,0.09
5400,25.92,0.465,0.03,0.005,0.04,0.09
5410,25.92,0.465,0.03,0.005,0.04,0.09
5420,25.92,0.465,0.03,0.005,0.04,0.09
5430,25.92,0.465,0.03,0.005,0.04,0.09
5440,25.92,0.465,0.03,0.005,0.04,0.09
5450,25.91,0.465,0.03,0.005,0.04,0.09
5460,25.91,0.465,0.03,0.005,0.04,0.09
5470,25.91,0.465,0.03,0.005,0.04,0.09
5480,25.91,0.465,0.03,0.005,0.04,0.09
5490,25.91,0.465,0.03,0.005,0.04,0.09
5500,25.91,0.465,0.03,0.005,0.04,0.09
5510,25.91,0.465,0.03,0.005,0.04,0.09
5520,25.91,0.465,0.03,0.005,0.04,0.09
5530,25.91,0.465,0.03,0.005,0.04,0.09
5540,25.91,0.465,0.03,0.005,0.04,0.09
5550,27.21,0.465,0.03,0.005,0.04,0.09
5560,27.21,0.465,0.03,0.005,0.04,0.09
